bottle_name,sales_status,price_usd,sales_date
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,174,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,141,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,153,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,141,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,141,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,141,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,139,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,143,2022-10-10 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,155,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,146,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,155,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,191,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,168,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,167,2022-09-05 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-09-05 00:00:00
